uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
Q9UJY5|Golgi-localized, gamma ear-containing, ARF-binding protein 1
Q13426|X-ray repair cross-complementing protein 4
O15379|SMAP45
O15379|RPD3-2
Q16543|Hsp90 chaperone protein kinase-targeting subunit
Q16543|p50Cdc37
Q15019|Neural precursor cell expressed developmentally down-regulated protein 5NEDD-5
P30305|Dual specificity phosphatase Cdc25B
Q9UMD9|180 kDa bullous pemphigoid antigen 2
Q9UMD9|Bullous pemphigoid antigen 2
O60341|BRAF35-HDAC complex protein BHC110
O60341|Flavin-containing amine oxidase domain-containing protein 2
P61244|Class D basic helix-loop-helix protein 4bHLHd4
P61244|Myc-associated factor X
Q15596|Transcriptional intermediary factor 2hTIF2
Q15596|Class E basic helix-loop-helix protein 75bHLHe75
P29590|Promyelocytic leukemia protein
P29590|RING finger protein 71
P29590|Tripartite motif-containing protein 19
P78344|p97
P78344|Death-associated protein 5DAP-5

Q14493|Histone stem-loop-binding protein

P42575|Protease ICH-1
P42575|Neural precursor cell expressed developmentally down-regulated protein 2NEDD-2
O95863|Protein snail homolog 1Protein sna
P13349|Class C basic helix-loop-helix protein 2bHLHc2

P36955|EPC-1
P36955|Serpin F1
P36955|Cell proliferation-inducing gene 35 protein

P04198|Class E basic helix-loop-helix protein 37bHLHe37
Q03112|Ecotropic virus integration site 1 protein homologEVI-1
Q03112|MDS1 and EVI1 complex locus protein
Q03112|Myelodysplasia syndrome 1 protein
Q03112|Myelodysplasia syndrome-associated protein 1
Q9BRS2|RIO kinase 1
Q9Y237|Parvulin-14Par14hPar14
Q9Y237|Rotamase Pin4
Q9Y237|Peptidyl-prolyl cis/trans isomerase EPVHhEPVH
Q9Y237|Peptidyl-prolyl cis-trans isomerase Pin4PPIase Pin4
Q9Y237|Parvulin-17Par17hPar17
Q96KQ7|Euchromatic histone-lysine N-methyltransferase 2
Q96KQ7|HLA-B-associated transcript 8
Q96KQ7|Histone H3-K9 methyltransferase 3H3-K9-HMTase 3
Q96KQ7|Lysine N-methyltransferase 1C
Q96KQ7|Protein G9a
Q13541|Phosphorylated heat- and acid-stable protein regulated by insulin 1PHAS-I

P41002|F-box only protein 1
P27540|Class E basic helix-loop-helix protein 2bHLHe2
P27540|Dioxin receptor, nuclear translocator
P27540|Hypoxia-inducible factor 1-betaHIF-1-betaHIF1-beta

O43395|Pre-mRNA-splicing factor 3hPrp3
O43395|U4/U6 snRNP 90 kDa protein
O76061|Stanniocalcin-related proteinSTC-related proteinSTCRP
O60671|DNA repair exonuclease rad1 homolog
O60671|Rad1-like DNA damage checkpoint protein
P43629|p70 natural killer cell receptor clones CL-2/CL-11p70 NK receptor CL-2/CL-11
P43629|MHC class I NK cell receptor
P43629|Natural killer-associated transcript 3NKAT-3
P43629|CD158 antigen-like family member E
P43629|HLA-BW4-specific inhibitory NK cell receptor

P06744|Autocrine motility factorAMF
P06744|NeuroleukinNLK
P06744|Phosphoglucose isomerasePGI
P06744|Phosphohexose isomerasePHI
P06744|Sperm antigen 36SA-36
P30793|GTP cyclohydrolase IGTP-CH-I
Q9UBN7|Tubulin-lysine deacetylase HDAC6
Q01534|Cancer/testis antigen 78CT78
Q13563|Autosomal dominant polycystic kidney disease type II protein
Q13563|Polycystic kidney disease 2 protein
Q13563|Polycystwin
Q13563|R48321
Q13563|Transient receptor potential cation channel subfamily P member 2
P30307|Dual specificity phosphatase Cdc25C

Q13283|ATP-dependent DNA helicase VIIIhDH VIII
Q13283|GAP SH3 domain-binding protein 1
Q15185|Cytosolic prostaglandin E2 synthasecPGES
Q15185|Hsp90 co-chaperone
Q15185|Progesterone receptor complex p23
Q15185|Telomerase-binding protein p23
P09651|Helix-destabilizing protein
P09651|Single-strand RNA-binding protein
P09651|hnRNP core protein A1
P52907|CapZ alpha-1

Q93009|Deubiquitinating enzyme 7
Q93009|Herpesvirus-associated ubiquitin-specific protease
Q93009|Ubiquitin thioesterase 7
Q93009|Ubiquitin-specific-processing protease 7
O43156|Protein SMG10
Q01105-2|HLA-DR-associated protein II
Q01105-2|Inhibitor of granzyme A-activated DNaseIGAAD
Q01105-2|PHAPII
Q01105-2|Phosphatase 2A inhibitor I2PP2AI-2PP2A
Q01105-2|Template-activating factor ITAF-I
P11473|Nuclear receptor subfamily 1 group I member 1
P11473|1,25-dihydroxyvitamin D3 receptor
P30291|Wee1A kinase
Q12798|Caltractin isoform 2

P06493|p34 protein kinase
P06493|Cell division control protein 2 homolog
P06493|Cell division protein kinase 1
P53539|G0/G1 switch regulatory protein 3
P06401|Nuclear receptor subfamily 3 group C member 3
O14737|TF-1 cell apoptosis-related protein 19Protein TFAR19
P12259|Proaccelerin, labile factor
P12259|Activated protein C cofactor
O75676|Nuclear mitogen- and stress-activated protein kinase 2
O75676|Ribosomal protein kinase BRSKB
O75676|90 kDa ribosomal protein S6 kinase 4
P18858|DNA ligase I
P18858|Polydeoxyribonucleotide synthase [ATP] 1
P10244|Myb-like protein 2
P05549|Activating enhancer-binding protein 2-alpha
P05549|Activator protein 2AP-2
P05549|AP-2 transcription factor
P49795|G-alpha-interacting proteinGAIP
Q13133|Nuclear receptor subfamily 1 group H member 3
Q13133|Liver X receptor alpha
Q04637-8|p220
P27986|Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alphaPI3-kinase subunit p85-alphaPtdIns-3-kinase regulatory subunit p85-alpha

Q14194|Collapsin response mediator protein 1CRMP-1
Q14194|Inactive dihydropyrimidinase
Q14194|Unc-33-like phosphoprotein 3ULIP-3

O15143|p41-ARC
O15143|Arp2/3 complex 41 kDa subunit
Q14980|Nuclear matrix protein-22NMP-22
Q14980|Nuclear mitotic apparatus proteinNuMA protein
Q14980|SP-H antigen
Q96EZ8|58 kDa microspherule protein
Q96EZ8|MCRS2
Q96EZ8|INO80 complex subunit J
Q96EZ8|Cell cycle-regulated factor p78
Q14203|DAP-150DP-150
Q14203|p150-glued
Q14203|p135
Q14203|150 kDa dynein-associated polypeptide
Q13761|Acute myeloid leukemia 2 protein
Q13761|Core-binding factor subunit alpha-3CBF-alpha-3
Q13761|Oncogene AML-2
Q13761|Polyomavirus enhancer-binding protein 2 alpha C subunitPEA2-alpha CPEBP2-alpha C
Q13761|SL3-3 enhancer factor 1 alpha C subunit
Q13761|SL3/AKV core-binding factor alpha C subunit
P46937|Protein yorkie homolog
P46937|Yes-associated protein YAP65 homolog
Q92974|Guanine nucleotide exchange factor H1GEF-H1
Q92974|Microtubule-regulated Rho-GEF
Q92974|Proliferating cell nucleolar antigen p40
P12755|Proto-oncogene c-Ski

Q8WV24|Apoptosis-associated nuclear protein
Q8WV24|Proline- and glutamine-rich proteinPQ-rich proteinPQR protein
Q8WV24|Proline- and histidine-rich protein
Q8WV24|T-cell death-associated gene 51 protein
Q9HC77|Centrosomal P4.1-associated protein
Q9HC77|LAG-3-associated protein
Q9HC77|LYST-interacting protein 1
Q8TEW0|PAR3-alpha
Q8TEW0|CTCL tumor antigen se2-5
Q8TEW0|Atypical PKC isotype-specific-interacting proteinASIP
Q8NHV4|Neural precursor cell expressed developmentally down-regulated protein 1NEDD-1
P53350|Polo-like kinase 1PLK-1
P53350|Serine/threonine-protein kinase 13STPK13
Q15398|Disks large-associated protein DLG7
Q15398|Hepatoma up-regulated proteinHURP
Q15398|Discs large homolog 7
Q13158|Protein FADD
Q13158|Mediator of receptor induced toxicity
Q13158|Growth-inhibiting gene 3 protein
Q13158|FAS-associating death domain-containing protein
Q9NRM7|Kinase phosphorylated during mitosis protein
Q9NRM7|Serine/threonine-protein kinase kpm
Q9NRM7|Large tumor suppressor homolog 2
Q9NRM7|Warts-like kinase
O15350|p53-related protein
O15350|p53-like transcription factor
O14777|Kinetochore-associated protein 2
O14777|Retinoblastoma-associated protein HEC
O14777|Kinetochore protein Hec1HsHec1
O14777|Highly expressed in cancer protein
O95983|Methyl-CpG-binding protein MBD3
Q49MG5|Aster-associated protein
Q96CX2|Pfetin
Q96CX2|Predominantly fetal expressed T1 domain
O43521|Bcl2-interacting mediator of cell death
Q14511|Cas scaffolding protein family member 2
Q14511|Neural precursor cell expressed developmentally down-regulated protein 9NEDD-9
Q14511|Renal carcinoma antigen NY-REN-12
Q14511|CRK-associated substrate-related proteinCAS-LCasL
Q14511|p105
Q9ULW0|Hepatocellular carcinoma-associated antigen 90
Q9ULW0|Hepatocellular carcinoma-associated antigen 519
Q9ULW0|Restricted expression proliferation-associated protein 100p100
Q9ULW0|Protein fls353
Q9ULW0|Differentially expressed in cancerous and non-cancerous lung cells 2DIL-2
Q9UPY8|RP3
Q9UPY8|End-binding protein 3EB3
Q9UPY8|EB1 protein family member 3EBF3
Q13526|Rotamase Pin1
Q13526|Peptidyl-prolyl cis-trans isomerase Pin1PPIase Pin1
Q8IX03|HBeAg-binding protein 3
Q8IX03|Kidney and brain proteinKIBRA
Q8IX03|WW domain-containing protein 1
P10275|Nuclear receptor subfamily 3 group C member 4
P10275|Dihydrotestosterone receptor
Q96CG3|Putative MAPK-activating protein PM14
Q96CG3|Putative NF-kappa-B-activating protein 20
Q96CG3|TRAF2-binding protein



P49450|Centromere autoantigen A
P49450|Centromere protein ACENP-A


Q9Y6A5|ERIC-1
P35269|Transcription initiation factor IIF subunit alphaTFIIF-alpha
P35269|General transcription factor IIF 74 kDa subunit
P35269|Transcription initiation factor RAP74
P13631|Nuclear receptor subfamily 1 group B member 3

Q8NHZ8|Anaphase-promoting complex subunit 12APC12
Q8NHZ8|Cell division cycle protein 26 homolog
O95835|WARTS protein kinaseh-warts
O95835|Large tumor suppressor homolog 1
P46937-2|Protein yorkie homolog
P46937-2|Yes-associated protein YAP65 homolog
P04049|Raf-1
P04049|Proto-oncogene c-RAFcRaf
Q02241|Kinesin-like protein 5
Q02241|Mitotic kinesin-like protein 1

Q9GZV5|Transcriptional coactivator with PDZ-binding motif
P09619|CD140 antigen-like family member B
P09619|Platelet-derived growth factor receptor 1PDGFR-1
P09619|Beta platelet-derived growth factor receptor
P09619|Beta-type platelet-derived growth factor receptor
P16234|Platelet-derived growth factor receptor 2PDGFR-2
P16234|Platelet-derived growth factor alpha receptor
P16234|CD140a antigen
P16234|CD140 antigen-like family member A
P16234|Alpha-type platelet-derived growth factor receptor
P16234|Alpha platelet-derived growth factor receptor
Q05397|pp125FAK
Q05397|p125FAK
Q05397|Protein phosphatase 1 regulatory subunit 71PPP1R71
Q05397|Protein-tyrosine kinase 2
Q05397|Focal adhesion kinase-related nonkinaseFRNK
P42684|Abelson murine leukemia viral oncogene homolog 2
P42684|Abelson tyrosine-protein kinase 2
P42684|Abelson-related gene protein
P42684|Tyrosine-protein kinase ARG
Q13769|hTREX90
Q13769|Functional spliceosome-associated protein 79fSAP79
Q13769|Placental protein 39.2PP39.2
Q13769|NF2/meningioma region protein pK1.3
P06241|p59-Fyn
P06241|Proto-oncogene c-Fyn
P06241|Proto-oncogene Syn
P06241|Src-like kinaseSLK
Q07912|Tyrosine kinase non-receptor protein 2

P21127|PITSLRE serine/threonine-protein kinase CDC2L1
P21127|p58 CLK-1
P21127|Cell division protein kinase 11B
P21127|Galactosyltransferase-associated protein kinase p58/GTA
P21127|Cell division cycle 2-like protein kinase 1CLK-1
P24941|Cell division protein kinase 2
P24941|p33 protein kinase
Q00534|Serine/threonine-protein kinase PLSTIRE
Q00534|Cell division protein kinase 6
O00267|DRB sensitivity-inducing factor 160 kDa subunitDSIF p160
O00267|DRB sensitivity-inducing factor large subunitDSIF large subunit
O00267|Tat-cotransactivator 1 proteinTat-CT1 protein
P50750|C-2K
P50750|Cell division cycle 2-like protein kinase 4
P50750|Cell division protein kinase 9
P50750|Serine/threonine-protein kinase PITALRE
P50750|Tat-associated kinase complex catalytic subunit
P10276|Nuclear receptor subfamily 1 group B member 1
Q9H0D6|DHM1-like proteinDHP protein
Q01094|Retinoblastoma-binding protein 3RBBP-3
Q01094|pRB-binding protein E2F-1
Q01094|PBR3
Q01094|Retinoblastoma-associated protein 1RBAP-1
P11802|Cell division protein kinase 4
P11802|PSK-J3
Q15797|JV4-1
Q15797|Mad-related protein 1
Q15797|SMAD family member 1SMAD 1Smad1hSMAD1
Q15797|Transforming growth factor-beta-signaling protein 1BSP-1
Q9BYE7|Mel18 and Bmi1-like RING finger
Q9BYE7|RING finger protein 134
Q9NYV4|Cdc2-related kinase, arginine/serine-richCrkRS
Q9NYV4|Cell division cycle 2-related protein kinase 7CDC2-related protein kinase 7
Q9NYV4|Cell division protein kinase 12hCDK12
Q13285|Adrenal 4-binding protein
Q13285|Fushi tarazu factor homolog 1
Q13285|Nuclear receptor subfamily 5 group A member 1
Q13285|Steroid hormone receptor Ad4BP
Q15208|NDR1 protein kinase
Q15208|Nuclear Dbf2-related kinase 1
Q96QF0|Rabin-3
Q96QF0|SSX2-interacting protein

Q7Z3C6|mATG9
Q7Z3C6|APG9-like 1
Q7Z628|Rho guanine nucleotide exchange factor 8
Q7Z628|Proto-oncogene p65 Net1


Q13131|Acetyl-CoA carboxylase kinaseACACA kinase
Q13131|Hydroxymethylglutaryl-CoA reductase kinaseHMGCR kinase
Q13131|Tau-protein kinase PRKAA1

Q06210-2|D-fructose-6-phosphate amidotransferase 1
Q06210-2|Glutamine:fructose-6-phosphate amidotransferase 1GFAT1GFAT 1
Q06210-2|Hexosephosphate aminotransferase 1
P29474|Endothelial NOSeNOS
P29474|EC-NOS
P29474|Constitutive NOScNOS
P29474|NOS type IIINOSIII

Q13085|Acetyl-Coenzyme A carboxylase alphaACC-alpha
Q9UQK1|Protein phosphatase 1 regulatory subunit 5PP1 subunit R5
Q9UQK1|Protein targeting to glycogenPTG
P23458|Janus kinase 1JAK-1
P63244|Cell proliferation-inducing gene 21 protein
P63244|Guanine nucleotide-binding protein subunit beta-2-like 1
P63244|Guanine nucleotide-binding protein subunit beta-like protein 12.3
P63244|Human lung cancer oncogene 7 proteinHLC-7
P63244|Receptor for activated C kinase
P63244|Small ribosomal subunit protein RACK1
O95278|Glucan phosphatase
O95278|Glycogen phosphatase
O95278|Lafora PTPaseLAFPTPase

P52292|Karyopherin subunit alpha-2
P52292|RAG cohort protein 1
P52292|SRP1-alpha
O00418|Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase
O60825|6PF-2-K/Fru-2,6-P2ase heart-type isozyme
O43524|AF6q21 protein
O43524|Forkhead in rhabdomyosarcoma-like 1
P08151|Oncogene GLI
P08151|Glioma-associated oncogene
Q16576|Retinoblastoma-binding protein p46
Q16576|Histone acetyltransferase type B subunit 2
Q16576|Nucleosome-remodeling factor subunit RBAP46
Q16576|Retinoblastoma-binding protein 7RBBP-7
P11908|PPRibP
P11908|Phosphoribosyl pyrophosphate synthase IIPRS-II
Q9BZL4|Protein phosphatase 1 myosin-binding subunit of 85 kDaProtein phosphatase 1 myosin-binding subunit p85
Q6TCH7|Progestin and adipoQ receptor family member III
Q6TCH7|Raf kinase trapping to GolgiRKTG
P00533|Proto-oncogene c-ErbB-1
P00533|Receptor tyrosine-protein kinase erbB-1

P60891|PPRibP
P60891|Phosphoribosyl pyrophosphate synthase IPRS-I
Q8N122|p150 target of rapamycin (TOR)-scaffold protein
Q13621|Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2
Q13621|Kidney-specific Na-K-Cl symporter
Q13362|Renal carcinoma antigen NY-REN-29
Q13362|PP2A B subunit isoform B'-gamma
Q13362|PP2A B subunit isoform B56-gamma
Q13362|PP2A B subunit isoform PR61-gamma
Q13362|PP2A B subunit isoform R5-gamma
P41235|Nuclear receptor subfamily 2 group A member 1
P41235|Transcription factor HNF-4
P41235|Transcription factor 14TCF-14

P04626|p185erbB2
P04626|Proto-oncogene Neu
P04626|Tyrosine kinase-type cell surface receptor HER2
P04626|Proto-oncogene c-ErbB-2
P04626|Metastatic lymph node gene 19 proteinMLN 19
Q14694|Deubiquitinating enzyme 10
Q14694|Ubiquitin thioesterase 10
Q14694|Ubiquitin-specific-processing protease 10
Q9BUB5-2|MAP kinase signal-integrating kinase 1MAPK signal-integrating kinase 1Mnk1
O95239|Chromokinesin-A
O75385|Autophagy-related protein 1 homologATG1hATG1
O75385|Unc-51-like kinase 1


Q15910|ENX-1
Q15910|Enhancer of zeste homolog 2
Q15910|Lysine N-methyltransferase 6

Q9H3M7|Thioredoxin-binding protein 2
Q9H3M7|Vitamin D3 up-regulated protein 1

P26358-2|CXXC-type zinc finger protein 9
P26358-2|DNA methyltransferase HsaIDNA MTase HsaIM.HsaI
P26358-2|MCMT
Q16875|6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme
Q16875|iPFK-2
Q16875|Renal carcinoma antigen NY-REN-56
Q8IXJ6|Regulatory protein SIR2 homolog 2
Q8IXJ6|SIR2-like protein 2
P14859|NF-A1
P14859|Octamer-binding protein 1Oct-1
P14859|Octamer-binding transcription factor 1OTF-1

P15056|Proto-oncogene B-Raf
P15056|p94
P15056|v-Raf murine sarcoma viral oncogene homolog B1
Q12778|Forkhead box protein O1A
Q12778|Forkhead in rhabdomyosarcoma
P43405|Spleen tyrosine kinase
P43405|p72-Syk
Q9NR19|Acetate--CoA ligase
Q9NR19|Acetyl-CoA synthetaseACSAceCS
Q9NR19|Acetyl-CoA synthetase 1AceCS1
Q9NR19|Acyl-CoA synthetase short-chain family member 2
Q9NR19|Acyl-activating enzyme
Q9NR19|Propionate--CoA ligase
O00763|ACC-beta

Q99623|Repressor of estrogen receptor activity
Q99623|D-prohibitin
Q99623|B-cell receptor-associated protein BAP37

P09874|ADP-ribosyltransferase diphtheria toxin-like 1ARTD1
P09874|DNA ADP-ribosyltransferase PARP1
P09874|NAD(+) ADP-ribosyltransferase 1ADPRT 1
P09874|Poly[ADP-ribose] synthase 1
P09874|Protein poly-ADP-ribosyltransferase PARP1
P28562|Dual specificity protein phosphatase hVH1
P28562|Mitogen-activated protein kinase phosphatase 1MKP-1MAP kinase phosphatase 1
P28562|Protein-tyrosine phosphatase CL100
Q9BXM7|BRPK
Q9BXM7|PTEN-induced putative kinase protein 1
Q92819|Hyaluronate synthase 2
Q92819|Hyaluronic acid synthase 2HA synthase 2
Q9UQB8|Insulin receptor substrate p53/p58IRS-58IRSp53/58
Q9UQB8|Insulin receptor substrate protein of 53 kDaIRSp53Insulin receptor substrate p53
Q9UQB8|Fas ligand-associated factor 3FLAF3
Q13177|PAK65
Q13177|Gamma-PAK
Q13177|p58
Q13177|p21-activated kinase 2PAK-2
Q13177|S6/H4 kinase
O14920|Nuclear factor NF-kappa-B inhibitor kinase betaNFKBIKB
O14920|I-kappa-B kinase 2IKK2
O60285|Omphalocele kinase 1
O60285|AMPK-related protein kinase 5ARK5
Q9Y2H1|Nuclear Dbf2-related kinase 2
Q9Y2H1|NDR2 protein kinase
O15055|Circadian clock protein PERIOD 2
Q8TD43|Calcium-activated non-selective cation channel 1
Q8TD43|Long transient receptor potential channel 4LTrpC-4LTrpC4
Q8TD43|Melastatin-4
Q9Y6Q9|Steroid receptor coactivator protein 3SRC-3
Q9Y6Q9|Receptor-associated coactivator 3RAC-3
Q9Y6Q9|Class E basic helix-loop-helix protein 42bHLHe42
Q9Y6Q9|CBP-interacting proteinpCIP
Q9Y6Q9|Amplified in breast cancer 1 proteinAIB-1
Q9Y6Q9|ACTR
Q9Y6Q9|Thyroid hormone receptor activator molecule 1TRAM-1
O14641|DSH homolog 2

Q13114|CAP-1
Q13114|CD40 receptor-associated factor 1CRAF1
Q13114|CD40-binding proteinCD40BP
Q13114|LMP1-associated protein 1LAP1
Q13114|RING-type E3 ubiquitin transferase TRAF3
P25054|Deleted in polyposis 2.5
Q9BZL6|nPKC-D2
O60716|p120(cas)
O60716|Cadherin-associated Src substrateCAS
O60716|p120 cateninp120(ctn)
Q9NP62|Glial cells missing homolog 1
Q9NP62|GCM motif protein 1
O43432|eIF-4-gamma IIeIF4GII
P24844|20 kDa myosin light chainLC20
P24844|Myosin regulatory light chain MRLC1
P24844|Myosin regulatory light chain 9
P24844|Myosin regulatory light chain 2, smooth muscle isoform
P24844|Myosin RLC
P24844|MLC-2C
P39019|Small ribosomal subunit protein eS19
Q9UKV0|Histone deacetylase-related protein
Q9UKV0|MEF2-interacting transcription repressor MITR
Q9UKV0|Histone deacetylase 7BHD7HD7b
P11274|Renal carcinoma antigen NY-REN-26
P62993|Protein Ash
P62993|Adapter protein GRB2
P62993|SH2/SH3 adapter GRB2


P61586|Rho cDNA clone 12h12
Q9Y6H1|Aging-associated gene 10 protein
Q9Y6H1|HCV NS2 trans-regulated proteinNS2TP
O60500|Renal glomerulus-specific cell adhesion receptor

Q16555|N2A3
Q16555|Unc-33-like phosphoprotein 2ULIP-2
Q16555|Collapsin response mediator protein 2CRMP-2
P48736|Serine/threonine protein kinase PIK3CG
P48736|Phosphoinositide-3-kinase catalytic gamma polypeptide
P48736|Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gammaPtdIns-3-kinase subunit p110-gammap110gamma
P48736|p120-PI3K
Q96FA3|Pellino-related intracellular-signaling molecule
Q96FA3|RING-type E3 ubiquitin transferase pellino homolog 1
Q96CV9|NEMO-related protein
Q96CV9|Huntingtin-interacting protein L
Q96CV9|Huntingtin-interacting protein 7HIP-7
Q96CV9|Huntingtin yeast partner L
Q96CV9|FIP-2
Q96CV9|E3-14.7K-interacting protein
Q96CV9|Transcription factor IIIA-interacting proteinTFIIIA-IntP
Q96CV9|Optic neuropathy-inducing protein
