uniprot_id|name|short



P16104|Histone H2A.X
P78318|Protein phosphatase 2/4/6 regulatory subunit
P78318|B-cell signal transduction molecule alpha 4Protein alpha-4

Q96EK5|KIF1-binding protein
Q96EK5|Kinesin family binding protein







O95803|Glucosaminyl N-deacetylase/N-sulfotransferase 3NDST-3hNDST-3
O95803|N-heparan sulfate sulfotransferase 3N-HSST 3

Q5VU65|Nucleoporin 210 kDa-like
Q5VU65|Nucleoporin Nup210-like
Q9P273|Protein Odd Oz/ten-m homolog 3
Q9P273|Tenascin-M3Ten-m3
Q9P273|Teneurin transmembrane protein 3










P42285|ATP-dependent RNA helicase DOB1
P42285|ATP-dependent RNA helicase SKIV2L2
P42285|Superkiller viralicidic activity 2-like 2
P42285|TRAMP-like complex helicase
P02549|Erythroid alpha-spectrin
Q96RI8|Trace amine receptor 4TaR-4




Q9UHD9|Chap1
Q9UHD9|DSK2 homolog
Q9UHD9|Protein linking IAP with cytoskeleton 2PLIC-2hPLIC-2
Q9UHD9|Ubiquitin-like product Chap1/Dsk2

Q96IX5|Diabetes-associated protein in insulin-sensitive tissues
Q96IX5|HCV F-transactivated protein 2
Q96IX5|Up-regulated during skeletal muscle growth protein 5
Q9Y3A2|UTP11-like protein










P16562|Cancer/testis antigen 36CT36
P16562|Testis-specific protein TPX-1





Q9HCK5|Argonaute RISC catalytic component 4
Q9HCK5|Eukaryotic translation initiation factor 2C 4eIF2C 4eIF-2C 4
Q8N693|Extraembryonic, spermatogenesis, homeobox 1
A0A0A0MRE1|Exocyst complex component Exo70

P34903|GABA(A) receptor subunit alpha-3


Q8NHY3|GAS2-related protein on chromosome 17
Q8NHY3|Growth arrest-specific protein 2-like 2



P02100|Epsilon-globin
P02100|Hemoglobin epsilon chain







P23352|Adhesion molecule-like X-linked
P23352|Kallmann syndrome protein
Q9ULS6|Voltage-gated potassium channel subunit Kv9.2
Q9ULS6|Delayed-rectifier K(+) channel alpha subunit 2



Q9UJA3|Minichromosome maintenance 8

Q14324|C-protein, skeletal muscle fast isoform


Q8WUB8|BRG1-associated factor 45aBAF45a
Q8WUB8|XAP135
A0A087WUH9|Polo-like kinase




P63220|Small ribosomal subunit protein eS21





































O95926|CCNDBP1-interactor
O95926|p29





P25106|G-protein coupled receptor RDC1 homologRDC-1
P25106|C-X-C chemokine receptor type 7CXC-R7CXCR-7
P25106|Chemokine orphan receptor 1
P25106|G-protein coupled receptor 159


Q6AI39|Glioma tumor suppressor candidate region gene 1 protein-like







O15389|CD33 antigen-like 2
O15389|Obesity-binding protein 2OB-BP2OB-binding protein 2





Q96PE6|Zinc finger protein 657

Q9P244|Synaptic adhesion-like molecule 2

Q9H1D9|DNA-directed RNA polymerase III subunit F
Q9H1D9|RNA polymerase III 39 kDa subunitRPC39
O94903|Proline synthase co-transcribed bacterial homolog protein
O94903|Pyridoxal phosphate-binding protein
Q96FQ6|S100 calcium-binding protein A16
Q96FQ6|Aging-associated gene 13 protein
Q96FQ6|Protein S100-F


P48047|ATP synthase peripheral stalk subunit OSCP
P48047|Oligomycin sensitivity conferral proteinOSCP

Q9Y6A4|Basal body up-regulated protein 22
Q9Y6A4|Transcription factor IIB
Q9NYQ7|Flamingo homolog 1hFmi1
Q9NYQ7|Multiple epidermal growth factor-like domains protein 2Multiple EGF-like domains protein 2
Q9NYQ7|Cadherin family member 11
Q9NYQ7|Epidermal growth factor-like protein 1EGF-like protein 1








P02538|Type-II keratin Kb6
P02538|Keratin-6AK6A
P02538|Cytokeratin-6DCK-6D
P02538|Cytokeratin-6ACK-6A
P04259|Type-II keratin Kb10
P04259|Keratin-6BK6B
P04259|Cytokeratin-6BCK-6B


Q96E11|Ribosome-releasing factor, mitochondrial











Q2I0M5|Roof plate-specific spondin-4hRspo4



P43007|Alanine/serine/cysteine/threonine transporter 1ASCT-1
P43007|SATT
P43007|Solute carrier family 1 member 4




O60218|ARL-1
O60218|Aldose reductase-like
O60218|Aldose reductase-related proteinARPhARP
O60218|Small intestine reductaseSI reductase





Q9NSD9|Phenylalanyl-tRNA synthetase beta subunitPheRS

O94992|Menage a quatre protein 1
O94992|Hexamethylene bis-acetamide-inducible protein 1
O94992|Estrogen down-regulated gene 1 protein
O94992|Cardiac lineage protein 1
K7EJE8|Lon protease-like proteinLONP
K7EJE8|Serine protease 15
K7EJE8|Mitochondrial ATP-dependent protease Lon


O95968|Lipophilin-A




Q8N357|ANT2-binding proteinANT2BP
Q8N357|Transport and Golgi organization 9 homolog
P48146|G-protein coupled receptor 8





Q8IZJ1|Protein unc-5 homolog 2
Q8IZJ1|Protein unc-5 homolog B
Q8IZJ1|p53-regulated receptor for death and life protein 1p53RDL1


O75509|Death receptor 6





P41214|Hepatocellular carcinoma-associated antigen 56
P41214|Ligatin

Q8IWV8|N-recognin-2
Q8IWV8|RING-type E3 ubiquitin transferase UBR2
Q8IWV8|Ubiquitin-protein ligase E3-alpha-2
Q8IWV8|Ubiquitin-protein ligase E3-alpha-II

Q9H9D4|PR domain zinc finger protein 17






P35125|Proto-oncogene TRE-2
P35125|Deubiquitinating enzyme 6
P35125|Ubiquitin-specific-processing protease 6
P35125|Ubiquitin thioesterase 6







Q99853|Transcription factor FKH-5












Q8IUZ5|Alanine--glyoxylate aminotransferase 2-like 2





Q7L5N7|1-alkylglycerophosphocholine O-acetyltransferase
Q7L5N7|1-acylglycerophosphocholine O-acyltransferase
Q7L5N7|Acetyl-CoA:lyso-platelet-activating factor acetyltransferaseAcetyl-CoA:lyso-PAF acetyltransferaseLyso-PAF acetyltransferaseLysoPAFAT
Q7L5N7|Lysophosphatidic acid acyltransferase alphaLPAAT-alpha
Q7L5N7|Acyltransferase-like 1
Q7L5N7|1-acylglycerol-3-phosphate O-acyltransferase 111-AGP acyltransferase 111-AGPAT 11












Q8TD57|Dnahc3-b
Q8TD57|Ciliary dynein heavy chain 3
Q8TD57|Axonemal beta dynein heavy chain 3HsADHC3






Q86UW8|Brain link protein 2
P09105|Hemoglobin theta-1 chain
P09105|Theta-1-globin


Q6UW63|Endoplasmic reticulum resident protein 58ER protein 58ERp58
Q6UW63|KDEL motif-containing protein 1
Q6UW63|Protein O-xylosyltransferase POGLUT2


Q8IWU2|Apoptosis-associated tyrosine kinase 2
Q8IWU2|Brain-enriched kinasehBREK
Q8IWU2|CDK5/p35-regulated kinaseCPRK
Q8IWU2|Lemur tyrosine kinase 2
Q8IWU2|Kinase/phosphatase/inhibitor 2
Q8IWU2|Serine/threonine-protein kinase KPI-2
A0A087WV29|18S rRNA cytosine acetyltransferase
A0A087WV29|N-acetyltransferase 10
Q8NGN0|Olfactory receptor OR11-276







A2RTX5|Threonyl-tRNA synthetaseThrRS
A2RTX5|Threonyl-tRNA synthetase-like protein 2
Q8NHU6|PCTAIRE2-binding protein
Q8NHU6|Tudor repeat associator with PCTAIRE-2Trap






P41226|Ubiquitin-activating enzyme E1 homolog
P41226|D8



A6QL63|BTB/POZ domain-containing protein 11



Q9H8M5|Cyclin-M2
Q9H8M5|Ancient conserved domain-containing protein 2
Q8N8A6|DEAD box protein 51
Q96SC8|Doublesex- and mab-3-related transcription factor 5

Q7Z2Z2|Elongation factor Tu GTP-binding domain-containing protein 1
Q7Z2Z2|Elongation factor-like 1
Q7Z2Z2|Protein FAM42A


Q8IYK4|Collagen beta(1-O)galactosyltransferase 2ColGalT 2
Q8IYK4|Glycosyltransferase 25 family member 2
Q8IYK4|Hydroxylysine galactosyltransferase 2


O60662|Kelch repeat and BTB domain-containing protein 10
O60662|Kelch-related protein 1
O60662|Kel-like protein 23
O60662|Sarcosin








Q8TDS5|G-protein coupled receptor R527
Q8TDS5|G-protein coupled receptor TG1019
Q8TDS5|5-oxo-ETE G-protein coupled receptor
Q8TDS5|G-protein coupled receptor 170

Q9NTG1|PKD and REJ homolog







A8K2U0|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9



Q494V2|Coiled-coil domain-containing protein 37


O60667|IgM Fc fragment receptor
O60667|Regulator of Fas-induced apoptosis Toso

P28476|GABA(C) receptor
P28476|GABA(A) receptor subunit rho-2

P56597|Inhibitor of p53-induced apoptosis-betaIPIA-beta
P56597|nm23-H5
P56597|Testis-specific nm23 homolog








P14550|Alcohol dehydrogenase [NADP(+)]
P14550|Aldehyde reductase
P14550|Glucuronate reductase
P14550|Glucuronolactone reductase












Q86XF0|Dihydrofolate reductase, mitochondrial
Q86XF0|Dihydrofolate reductase-like protein 1





Q9UHA7|Interleukin-1 family member 6IL-1F6
Q9UHA7|FIL1 epsilon
Q9UHA7|Interleukin-1 epsilonIL-1 epsilon





Q01538|Proteolipid protein-binding protein
Q01538|PLPB1
Q01538|Myelin transcription factor IMyTI


Q9P1Q5|Olfactory receptor OR17-11
Q9P1Q5|Olfactory receptor 17-7OR17-7
O95206|Arcadlin



A5LHX3|Proteasome subunit beta-5t




P62701|SCR10
P62701|Single copy abundant mRNA protein
P62701|Small ribosomal subunit protein eS4

Q8TD47|Small ribosomal subunit protein eS4

Q8TD33|Secretoglobin RYD5
P12236|ADP,ATP carrier protein 3
P12236|Solute carrier family 25 member 6
P12236|ADP,ATP carrier protein, isoform T2ANT 2
P12236|Adenine nucleotide translocator 3ANT 3


O75897|Sulfotransferase 1C2SULT1C#2
Q9H3H9|Transcription elongation factor S-II protein-like 2
A6NLF2|Elongin-A3-like-2EloA3-like-2
A6NLF2|RNA polymerase II transcription factor SIII subunit A3-like-2
A6NLF2|Transcription elongation factor B polypeptide 3C-like-2


Q7Z7E8|E2 ubiquitin-conjugating enzyme Q1
Q7Z7E8|Protein NICE-5
Q7Z7E8|Ubiquitin carrier protein Q1
Q7Z7E8|Ubiquitin-protein ligase Q1


A5D8V6|ESCRT-I complex subunit VPS37C
Q6PEW1|Smad-interacting zinc finger protein 1

P45954|2-methylbutyryl-coenzyme A dehydrogenase2-methylbutyryl-CoA dehydrogenase
P45954|2-methyl branched chain acyl-CoA dehydrogenase2-MEBCAD


Q5VW32|BRO1 domain- and CAAX motif-containing protein










P08263|13-hydroperoxyoctadecadienoate peroxidase
P08263|Androst-5-ene-3,17-dione isomerase
P08263|GST HA subunit 1
P08263|GST class-alpha member 1
P08263|GST-epsilon
P08263|GSTA1-1
P08263|GTH1


Q8IWV1|Membrane-associated adapter protein LAX
Q8IWV1|Linker for activation of X cells




Q9H6Q4|Cytosolic Fe-S cluster assembly factor NARFL
Q9H6Q4|Iron-only hydrogenase-like protein 1IOP1
Q9H6Q4|Nuclear prelamin A recognition factor-like protein
Q9H6Q4|Protein related to Narf














Q8N5A5|Zinc finger CCCH domain-containing protein 9
Q8N5A5|Zinc finger and G patch domain-containing protein
Q8N5A5|G patch domain-containing protein 6

Q92833|Jumonji/ARID domain-containing protein 2
O76014|Keratin-37K37
O76014|Hair keratin, type I Ha7



Q9UBZ4|Apurinic-apyrimidinic endonuclease 2AP endonuclease 2
Q9UBZ4|AP endonuclease XTH2
Q9UBZ4|APEX nuclease 2
Q9UBZ4|APEX nuclease-like 2
Q53RT3|Skin-specific retroviral-like aspartic proteaseSASPaseSkin aspartic protease
Q53RT3|TPA-inducible aspartic proteinase-like proteinTAPS
A0A0D9SG95|CCT-eta




Q9GZN0|Striatum-specific G-protein coupled receptor






















Q8TBG4|Alanine--glyoxylate aminotransferase 2-like 1

Q9BXQ6|Cat eye syndrome critical region protein 6


Q96DZ1|ER lectinErlectin
Q96DZ1|XTP3-transactivated gene B protein



Q92831|Histone acetyltransferase PCAFHistone acetylase PCAF
Q92831|Lysine acetyltransferase 2B
Q92831|P300/CBP-associated factorP/CAF
Q92831|Spermidine acetyltransferase KAT2B



Q13113|Protein DD96
Q13113|17 kDa membrane-associated protein
P15259|BPG-dependent PGAM 2
P15259|Muscle-specific phosphoglycerate mutase
P15259|Phosphoglycerate mutase isozyme MPGAM-M
P28070|26 kDa prosomal proteinHsBPROS26PROS-26
P28070|Macropain beta chain
P28070|Multicatalytic endopeptidase complex beta chain
P28070|Proteasome beta chain
P28070|Proteasome chain 3HsN3









O00425|IGF-II mRNA-binding protein 3
O00425|KH domain-containing protein overexpressed in cancerhKOC
O00425|VICKZ family member 3
Q9Y5Q3|V-maf musculoaponeurotic fibrosarcoma oncogene homolog B



P10109|Hepatoredoxin
P10109|Adrenal ferredoxin
P10109|Ferredoxin-1




Q86TB3|Heart alpha-protein kinase



Q9BW85|Coiled-coil domain-containing protein 94

Q5T0D9|Mossy fiber terminal-associated vertebrate-specific presynaptic protein
Q5T0D9|Protein FAM79A







Q8N5I3|Protein CLLD4


Q6PFW1|IP6 kinase
Q6PFW1|Inositol pyrophosphate synthase 1
Q6PFW1|Diphosphoinositol pentakisphosphate kinase 1
Q6PFW1|Histidine acid phosphatase domain-containing protein 2A
Q6PFW1|InsP6 and PP-IP5 kinase 1
Q6PFW1|VIP1 homologhsVIP1









Q8N461|F-box and leucine-rich repeat protein 16
Q01718|Adrenocorticotropin receptor
Q01718|Melanocortin receptor 2MC2-R









Q9BYF1|Metalloprotease MPROT15
Q9BYF1|ACE-related carboxypeptidase
Q9BYF1|Angiotensin-converting enzyme homologACEH




A6NEL2|Protein sosondowah homolog B
A6NEL2|Ankyrin repeat domain-containing protein 56












P12724|Ribonuclease 3RNase 3


Q9NWV4|UPF0587 protein C1orf123




Q96PF2|DiGeorge syndrome protein GDGS-G
Q96PF2|Serine/threonine-protein kinase 22B



P09669|Cytochrome c oxidase polypeptide VIc
Q07973|Cytochrome P450 24A1
Q07973|Cytochrome P450-CC24



A3KMH1|PEX7-binding protein 2P7BP2



P30041|1-Cys peroxiredoxin1-Cys PRX
P30041|24 kDa protein
P30041|Acidic calcium-independent phospholipase A2aiPLA2
P30041|Antioxidant protein 2
P30041|Liver 2D page spot 40
P30041|Non-selenium glutathione peroxidaseNSGPx
P30041|Red blood cells page spot 12







Q6UY14|Thrombospondin repeat-containing protein 1

Q9Y2T2|Adaptor-related protein complex 3 subunit mu-1
Q9Y2T2|Mu-adaptin 3A
Q9Y2T2|Mu3A-adaptin
Q9Y2T2|AP-3 adaptor complex mu3A subunit



Q6IAA8|Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1
Q6IAA8|Lipid raft adaptor protein p18
Q6IAA8|Protein associated with DRMs and endosomes
Q6IAA8|p27Kip1-releasing factor from RhoAp27RF-Rho






Q9BXL5|Negative differentiation regulator protein
Q9BXL5|Erythroid differentiation-associated gene proteinEDAG-1
Q9BXL5|Hemopoietic gene protein





Q86Z14|Klotho beta-like protein




O75306|Complex I-49kDCI-49kD
O75306|NADH-ubiquinone oxidoreductase 49 kDa subunit


Q8WWZ8|Liver-specific zona pellucida domain-containing protein


Q9H488|Peptide-O-fucosyltransferase 1O-FucT-1
P23284|CYP-S1
P23284|Cyclophilin B
P23284|Rotamase B
P23284|S-cyclophilinSCYLP






P60903|p11
P60903|S100 calcium-binding protein A10
P60903|p10 protein
P60903|Calpactin-1 light chain
P60903|Cellular ligand of annexin II
P60903|Calpactin I light chain
Q52WX2|SH3-binding kinase 1

Q8WWI5|CDw92
Q8WWI5|Solute carrier family 44 member 1

Q6ZNB7|Transmembrane protein 195



H0YHS6|Tyrosyl-tRNA synthetase
Q7L8W6|Diphthamide synthetase
Q7L8W6|Protein DPH6 homolog
Q7L8W6|ATP-binding domain-containing protein 4
Q7L8W6|Diphthamide synthase







Q9BY32|Non-canonical purine NTP pyrophosphatase
Q9BY32|Non-standard purine NTP pyrophosphatase
Q9BY32|Nucleoside-triphosphate diphosphatase
Q9BY32|Nucleoside-triphosphate pyrophosphataseNTPase
Q9BY32|Putative oncogene protein hlc14-06-p

Q9Y585|Olfactory receptor OR17-10
Q9Y585|Olfactory receptor 17-6OR17-6








Q8NDZ4|Deleted in autism protein 1
Q8NDZ4|Golgi Protein of 49 kDaGoPro49
Q8NDZ4|Hypoxia and AKT-induced stem cell factorHASF
Q9NZT1|Calmodulin-like skin protein




P31512|Dimethylaniline oxidase 4
P31512|Hepatic flavin-containing monooxygenase 4FMO 4
P62166|Frequenin homolog
P62166|Frequenin-like ubiquitous protein
P62166|Frequenin-like protein


Q10713|Alpha-MPP
Q10713|Inactive zinc metalloprotease alpha
Q10713|P-55













P52907|CapZ alpha-1







Q96K78|G-protein coupled receptor 128





Q5JVF3|CSN12-like protein


P49683|G-protein coupled receptor 10
P49683|hGR3


O15537|X-linked juvenile retinoschisis protein

Q9NRX5|Tumor differentially expressed protein 1-like
Q9NRX5|Tumor differentially expressed protein 2
P58004|Hypoxia-induced gene
Q8TEC5|Heart protein phosphatase 1-binding proteinHEPP1
Q8TEC5|POSH-eliminating RING protein
Q8TEC5|Protein phosphatase 1 regulatory subunit 39
Q8TEC5|RING finger protein 158
Q8TEC5|RING-type E3 ubiquitin transferase SH3RF2
Q8TEC5|SH3 domain-containing RING finger protein 2
P63208|Organ of Corti protein IIOCP-II
P63208|RNA polymerase II elongation factor-like protein
P63208|SIII
P63208|Transcription elongation factor B polypeptide 1-like
P63208|p19skp1
P63208|Cyclin-A/CDK2-associated protein p19p19A
P63208|Organ of Corti protein 2OCP-2
A0A0C4DGZ5|Tyrosyl-tRNA synthetase
Q9UDV7|HTLV-I U5RE-binding protein 1HUB-1




P78417|Glutathione S-transferase omega 1-1GSTO 1-1
P78417|Glutathione-dependent dehydroascorbate reductase
P78417|Monomethylarsonic acid reductaseMMA(V) reductase
P78417|S-(Phenacyl)glutathione reductaseSPG-R



Q15784|Class A basic helix-loop-helix protein 1bHLHa1
Q15784|NeuroD-related factorNDRF

Q86X76|Nitrilase homolog 1

Q9BY78|RING finger protein 26


H0YL14|Herpes virus UL25-binding protein












Q70Z35|DEP domain-containing protein 2







P62424|Large ribosomal subunit protein eL8
P62424|PLA-X polypeptide
P62424|Surfeit locus protein 3

Q3SY84|Type-II keratin Kb34
Q3SY84|Type II inner root sheath-specific keratin-K6irs1Keratin 6 irshK6irshK6irs1
Q3SY84|Cytokeratin-71CK-71
Q3SY84|Keratin-71K71


Q9NRR5|Ataxin-1 interacting ubiquitin-like proteinA1Up
Q9NRR5|Ataxin-1 ubiquitin-like-interacting protein A1U
Q9NRR5|Connexin43-interacting protein of 75 kDaCIP75







Q16518|All-trans-retinyl-palmitate hydrolase
Q16518|Lutein isomerase
Q16518|Meso-zeaxanthin isomerase
Q16518|Retinal pigment epithelium-specific 65 kDa protein
Q16518|Retinol isomerase
P30044|Alu corepressor 1
P30044|Antioxidant enzyme B166AOEB166
P30044|Liver tissue 2D-page spot 71B
P30044|PLP
P30044|Peroxiredoxin VPrx-V
P30044|Peroxisomal antioxidant enzyme
P30044|TPx type VI
P30044|Thioredoxin peroxidase PMP20








Q6PJP8|SNM1 homolog AhSNM1hSNM1A
P0C7T5|Brother of ataxin-1Brother of ATXN1



Q06546|Transcription factor E4TF1-60
Q06546|Nuclear respiratory factor 2 subunit alpha


Q9UJM8|Glycolate oxidaseGOX
Q9GZP8|Hepatocyte growth factor activator inhibitor type 2-related small proteinH2RSPHAI-2-related small protein

Q8N6L1-2|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2Oligosaccharyl transferase subunit KCP2

P21815|Bone sialoprotein IIBSP II
P21815|Cell-binding sialoprotein
P21815|Integrin-binding sialoprotein





Q9UMX5|Cell immortalization-related protein 2
Q9UMX5|Neuron-derived neurotrophic factor
Q9UMX5|Protein GIG47
Q9UMX5|Secreted protein of unknown functionSPUF protein
Q86T24|Zinc finger and BTB domain-containing protein 33















Q9Y271|Cysteinyl leukotriene D4 receptorLTD4 receptor
Q9Y271|G-protein coupled receptor HG55
Q9Y271|HMTMF81


Q9P0K8|Fork head homologous X








Q15573|TATA box-binding protein-associated factor 1ATBP-associated factor 1A
Q15573|Transcription factor SL1
Q15573|Transcription initiation factor SL1/TIF-IB subunit A
Q15573|RNA polymerase I-specific TBP-associated factor 48 kDaTAFI48







Q9Y231|Fucosyltransferase 9
Q9Y231|Galactoside 3-L-fucosyltransferase
Q9Y231|Fucosyltransferase IXFuc-TIXFucT-IX
Q8IYL9|G-protein coupled receptor 65
Q8IYL9|T-cell death-associated gene 8 protein















P05413|Fatty acid-binding protein 3
P05413|Muscle fatty acid-binding proteinM-FABP
P05413|Heart-type fatty acid-binding proteinH-FABP
P05413|Mammary-derived growth inhibitorMDGI

Q86SP6|G-protein coupled receptor PGR10





P21549|Alanine--glyoxylate aminotransferaseAGT


P59665|Defensin, alpha 1
P59665|HNP-1HP-1HP1
P59666|HNP-3HP-3HP3
P59666|Defensin, alpha 3


O60449|DEC-205
O60449|C-type lectin domain family 13 member B
O60449|gp200-MR6




Q9BXA7|Serine/threonine-protein kinase 22A
P05026|Sodium/potassium-dependent ATPase subunit beta-1



Q96JQ0|Protein dachsous homolog 1
Q96JQ0|Fibroblast cadherin-1
Q96JQ0|Cadherin-25
Q96JQ0|Cadherin-19




Q8N9Q2|SFRS12-interacting protein 1
Q8N9Q2|SREK1-interacting protein 1
Q8N9Q2|Splicing regulatory protein of 18 kDap18SRP







O95183|Myobrevin




Q9NX74|Dihydrouridine synthase 2
Q9NX74|Up-regulated in lung cancer protein 8URLC8
Q9NX74|tRNA-dihydrouridine synthase 2-likehDUS2





Q9UMX3|Bcl-2-like protein 9Bcl2-L-9
Q9HC16|APOBEC-related cytidine deaminaseAPOBEC-related proteinARCD
Q9HC16|APOBEC-related protein 9ARP-9
Q9HC16|CEM-15CEM15
Q9HC16|Deoxycytidine deaminaseA3G



Q9H772|Protein related to DAN and cerberus
Q9H772|Cysteine knot superfamily 1, BMP antagonist 2
Q9H772|DAN domain family member 3




Q9Y333|snRNP core Sm-like protein Sm-x5
Q9Y333|Small nuclear ribonuclear protein D homolog
Q9Y333|Protein G7b









Q96A35|Mitochondrial large ribosomal subunit protein uL24m


P30038|Aldehyde dehydrogenase family 4 member A1
P30038|L-glutamate gamma-semialdehyde dehydrogenase
P50406|Serotonin receptor 6

Q86UF1|PenumbrahPen
Q86UF1|Proerythroblast new membrane








Q16842|Gal-NAc6S
Q16842|Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase
Q16842|ST3Gal IIST3GalII
Q16842|ST3GalA.2
Q16842|Sialyltransferase 4BSIAT4-B
Q9Y615|Actin-like-7-alpha


Q2PPJ7|250 kDa substrate of AktAS250
Q2PPJ7|p220

A0A0A0MTI6|Very-long-chain 3-oxoacyl-CoA synthase
Q9NZN3|PAST homolog 3
Q8WY22|Cervical cancer 1 proto-oncogene-binding protein KG19
Q8WY22|HCCRBP-1

Q2Y0W8|Solute carrier family 4 member 8
Q2Y0W8|Electroneutral Na(+)-driven Cl-HCO3 exchanger
Q2Y0W8|k-NBC3
Q9ULZ2|BCR downstream-signaling protein 1
Q9ULZ2|Docking protein BRDG1
Q9ULZ2|Stem cell adaptor protein 1





A0A087WWM4|Guanosine 5'-monophosphate oxidoreductaseGuanosine monophosphate reductase



Q14166|Inactive tubulin--tyrosine ligase-like protein 12









Q4FZB7|Lysine N-methyltransferase 5B
Q4FZB7|Lysine-specific methyltransferase 5B
Q4FZB7|Suppressor of variegation 4-20 homolog 1Suv4-20h1Su(var)4-20 homolog 1






Q5T442|Connexin-47Cx47
Q5T442|Gap junction alpha-12 protein
Q5T442|Connexin-46.6Cx46.6

Q86WK6|AMIGO-1
Q86WK6|Alivin-2
P54707|Non-gastric H(+)/K(+) ATPase subunit alpha
P54707|Proton pump
O95153|Peripheral benzodiazepine receptor-interacting proteinPBR-IP
O95153|RIMS-binding protein 1RIM-BP1
O95153|TSPO-associated protein 1
Q9ULX7|Carbonate dehydratase XIV
Q9ULX7|Carbonic anhydrase XIVCA-XIV

Q9BW61|Placenta cross-immune reaction antigen 1PCIA-1



P34910|Ecotropic viral integration site 2B protein homologEVI-2B





P29460|IL-12 subunit p40
P29460|NK cell stimulatory factor chain 2NKSF2
P29460|Cytotoxic lymphocyte maturation factor 40 kDa subunitCLMF p40
Q9P2K6|Cullin-3-binding protein 9Ctb9
Q9P2K6|Kelch domain-containing protein 5


Q6ZN04|RING finger protein 195
Q6ZN04|RING finger and KH domain-containing protein 3
Q96EN8|Molybdenum cofactor sulfurtransferase




Q8IY26|Phosphatidic acid phosphatase type 2 domain-containing protein 2PPAP2 domain-containing protein 2
Q8IY26|Presqualene diphosphate phosphatase
Q6ICB0|PPPDE peptidase domain-containing protein 2
Q6ICB0|Polyubiquitinated substrate transporterPOST

Q9UJD0|RIM3 gamma
Q9UJD0|Rab-3-interacting molecule 3RIM 3




Q96C03|Mitochondrial dynamics protein of 49 kDa
Q96C03|Mitochondrial elongation factor 2
Q96C03|Smith-Magenis syndrome chromosomal region candidate gene 7 protein

Q5J8M3|Transmembrane protein 85
Q5J8M3|Cell proliferation-inducing gene 17 protein





P05187|Alkaline phosphatase Regan isozyme
P05187|Placental alkaline phosphatase 1PLAP-1

Q8NBU5|Thorase


Q14692|Ribosome assembly protein BMS1 homolog



Q9H9L4|NSL complex protein NSL2
Q9H9L4|Non-specific lethal 2 homolog





Q9UBG3|Squamous epithelial heat shock protein 53
Q9UBG3|Tumor-related protein
Q9UBG3|53 kDa putative calcium-binding protein
Q9UBG3|53 kDa squamous epithelial-induced stress protein
Q9UBG3|58 kDa heat shock protein

Q9NR30|DEAD box protein 21
Q9NR30|Gu-alpha
Q9NR30|Nucleolar RNA helicase Gu
Q9NR30|Nucleolar RNA helicase II
Q9NR30|RH II/Gu





Q5JSP0|Zinc finger FYVE domain-containing protein 5






A0A087WYS0|Mitofilin


Q2VIQ3|Chromokinesin-B



Q9NPA3|Spot 14-related proteinS14RSpot 14-R
Q9NPA3|Protein STRAIT11499
Q9NPA3|Mid1-interacting G12-like protein
Q9NPA3|Gastrulation-specific G12-like protein
Q99583|Protein ROX
Q99583|Myc antagonist MNT
Q99583|Class D basic helix-loop-helix protein 3bHLHd3



O75459|G antigen 9GAGE-9
O75459|AL5
O75459|G antigen family B member 1
O75459|Prostate-associated gene 1 protein
Q8NEN9|Sarcoma antigen NY-SAR-84/NY-SAR-104

Q9H8W4|PH and FYVE domain-containing protein 2
Q9H8W4|Endoplasmic reticulum-associated apoptosis-involved protein containing PH and FYVE domainsEAPF
Q9H8W4|Zinc finger FYVE domain-containing protein 18
